slug,nama,jabatan,fraksi,dapil,perolehan_suara,komisi,badan_kerja,email,tempat_tgl_lahir,pendidikan,organisasi,lhkpn,,,,pekerjaan
mangihut-sinaga,Mangihut Sinaga,Anggota DPR RI 2024–2029,Partai Golongan Karya,SUMATERA UTARA III,59947,Komisi III,MKD,mangihut.sinaga@dpr.go.id,"Medan, 08 April 1962","1969 - 1975 — Sekolah Dasa Negeri Kp Juhar; 1975 - 1978 — Sekolah Menengah Pertama Negeri Kp Juhar; 1978 - 1982 — Sekolah Menengah Pekerjaan Sosial (SMPS) Pematang Siantar; 1982 - 1986 — Universitas Tridharma Balikpapan, Ilmu Hukum; 2012 - 2014 — Universitas Airlangga, Ilmu Hukum",,,,,,"1993 - 1997 — Kejaksaan Negeri Balikpapan, Sebagai: Kasubsi Sosial dan Budaya pada Seksi Intelijen; 1997 - 1999 — Cabang Kejaksaan Negeri Tenggarong, Sebagai: Kepalpa Cabang Kejaksaan Negeri; 1999 - 2000 — Kejaksaan Negeri Balikpapan, Sebagai: Kepala Seksi Tindak Pidana Umum; 2000 - 2001 — Kejaksaan Negeri Balikpapan, Sebagai: Kepala Seksi Tindak Pidana Umum merangkap Jaksa Ekonomi; 2001 - 2003 — Kejaksaan Negeri Bontang, Sebagai: Kepala Kejakaan Negeri merangkap Jaksa Ekonomi; 2003 - 2004 — Kejaksaan Negeri Purwodadi, Sebagai: Kepala Kejaksaan Negeri; 2004 - 2007 — Kejaksaan Tinggi Kalimantan Timur, Sebagai: Asisten Intelijen; 2007 - 2008 — Kejaksaan Negeri Medan, Sebagai: Kepala Kejaksaan Negeri; 2008 - 2011 — Kejaksaan Tinggi Jawa Tengah, Sebagai: Asisten Perdata dan Tata Usaha Negara; 2011 - 2011 — Kejaksaan Agung RI, Sebagai: Pengkaji pada Jaksa Agung Muda Intelijen; 2011 - 2012 — Kejaksaan Agung RI, Sebagai: Koordinator Pada Jaksa Agung Muda Intelijen; 2012 - 2013 — Kejaksaan Tinggi Sumatera Utara, Sebagai: Wakil Kepala Kejaksaan Tinggi; 2013 - 2014 — Kejaksaan Tinggi Nusa Tenggara Timur, Sebagai: Kepala Kejaksaan Tinggi; 2014 - 2017 — Badiklat Kejaksaan Agung RI, Sebagai: Kampus Pendidikan Manajemen dan Kepemimpinan; 2017 - 2018 — Kejaksaan Tinggi Sulawesi Utara, Sebagai: Kepala Kejaksaan Tinggi; 2018 - 2020 — Kejaksaan Agung RI, Sebagai: Inspektur V pada Jaksa Agung Muda Pengawasan; 2020 - 2022 — Kejaksaan Agung RI, Sebagai: Staff Ahli Jaksa Agung RI; Penghargaan; 2001 — Piagam Penghargaan Tanda Kehormatan Satya Lencana Karya Satya X (Sepuluh) Tahun, Presiden Aburrahman Wahid; 2011 — Piagam Penghargaan Tanda Kehormatan Satya Lencana Karya Satya XX (Dua Puluh) Tahun, Presiden Susilo Bambang Yudhoyono; 2019 — Piagam Penghargaan Tanda Kehormatan Satya Lencana Karya Satya XXX (Tiga Puluh) Tahun, Presiden Joko Widodo"
zigo-rolanda,Zigo Rolanda,Anggota DPR RI 2024–2029,Partai Golongan Karya,SUMATERA BARAT I,58107,Komisi V,Banggar,zigo.rolanda@dpr.go.id,"Rimbo Tangah, 10 December 1991","1997 - 2003 — SD Negeri 10 Rimbo Tangah; 2003 - 2006 — MTs Negeri Lubuk Gadang; 2006 - 2009 — SMA Negeri 3 Solok Selatan; 2009 - 2016 — Universitas Andalas, Ekonomi; 2019 - 2022 — STIE AKBP, Manajemen",,,,,,"2014 - 2019 — DPRD Provinsi Sumatera Barat, Sebagai: Anggota; 2019 - 2024 — DPRD Kabupaten Solok Selatan, Sebagai: Ketua; Penghargaan; Tidak ada data"
benny-utama,Benny Utama,Anggota DPR RI 2024–2029,Partai Golongan Karya,SUMATERA BARAT II,75255,Komisi III,Bamus,benny.utama@dpr.go.id,"Jakarta, 01 September 1961",1967 - 1973 — SDN 2 Lubuk Sikaping; 1973 - 1976 — SMEP Negeri Lubuk Sikaping; 1978 - 1980 — SMPP 35 Jakarta; 1980 - 1985 — Universitas Muhammadiyah Sumatera Barat di Bukit Tinggi; 2001 - 2003 — Universitas Negeri Padang,,,,,,"1987 - 1999 — Kejaksaan Agung RI, Sebagai: Jaksa; 2000 - 2005 — Pemerintah Daerah Kab. Pasaman, Sebagai: Wakil Bupati; 2009 - 2010 — DPRD Kab. Pasaman, Sebagai: Ketua DPRD Kab. Pasaman; 2010 - 2015 — Pemerintah Daerah Kab. Pasaman, Sebagai: Bupati Pasaman; 2019 - 2024 — DPRD Provinsi Sumatera Barat, Sebagai: Anggota DPRD; 2021 - 2023 — Pemerintah Daerah Kab. Pasaman, Sebagai: Bupati Pasaman; Penghargaan; Anubhawa Sasana Desa, Kementerian Hukum dan HAM RI; Lencana Melati, Kwarnas Pramuka; Citra Bhakti Abdi Negara, Pemerintah Provinsi Sumatera Barat; Adhikarya Pangan Nusantara, Pemerintah Provinsi Sumatera Barat; Satyalencana Karya Bhakti Praja Nugraha, Presiden RI"
maharani,Maharani,Anggota DPR RI 2024–2029,Partai Golongan Karya,RIAU I,79006,Komisi IX,Baleg,maharani@dpr.go.id,"Sintong, 01 June 1996","2002 - 2008 — SDN 013 Sintong; 2008 - 2011 — SMP 4 Tanah Putih; 2011 - 2014 — SMAN 3 Tanah Putih; 2014 - — Universitas Abdurab Pekanbaru, Kedokteran; 2022 - — Universitas Lancang Kuning, Manajemen",,,,,,Tidak ada data; Penghargaan
karmila-sari,Karmila Sari,Anggota DPR RI 2024–2029,Partai Golongan Karya,RIAU I,89835,Komisi X,Baleg,karmila.sari@dpr.go.id,"Duri, 20 April 1982","- 2004 — UNIVERSITAS TARUMANEGARA, SYSTEM INFORMASI; - 2008 — UNIVERSITAS INDONESIA, MANAJEMEN; - 2022 — UNIVERSITAS BRAWIJAYA, ILMU ADMINISTRASI; 1988 - 1994 — SDN 23 CINTA RAJA, -; 1994 - 1997 — SMPN 1 PEKANBARU, -; 1997 - 2000 — SMAN 1 PEKANBARU",,,,,,"2009 - 2014 — DPRD Kabupaten Rohil, Sebagai: Sekretaris Fraksi Golkar DPRD Kab. Rohil; 2009 - 2014 — DPRD Kabupaten Rohil, Sebagai: Anggota DPRD Kab. Rohil; 2009 - 2014 — DPRD Provinsi Riau, Sebagai: Sekretaris Fraksi Golkar DPRD Provinsi Riau; 2009 - 2014 — DPRD Provinsi Riau, Sebagai: Anggota DPRD Provinsi Riau; 2015 - — DPRD Provinsi Riau, Sebagai: Wakil Ketua Pansus Taman Hutan Raya; 2015 - — DPRD Provinsi Riau, Sebagai: Ketua Pansus Pemanfaatan Alat Bantu Produksi Lokal Dalam Bidang Pereknomian; 2017 - — DPRD Provinsi Riau, Sebagai: Ketua Pansus RPIP Riau (Rencana Pembangunan Industri Prov. Riau; 2017 - 2019 — DPRD Provinsi Riau, Sebagai: Wakil Ketua Komisi B DPRD Provinsi Riau; 2019 - 2024 — DPRD Provinsi Riau, Sebagai: Anggota DPRD Provinsi Riau; 2020 - 2024 — DPRD Provinsi Riau, Sebagai: Ketua Fraksi Golkar DPRD Provinsi Riau; 2021 - — DPRD Provinsi Riau, Sebagai: Ketua Pansus Konversi Bank Riau Kepri Syariah; 2022 - — DPRD Provinsi Riau, Sebagai: Ketua Pansus Pengarusutamaan Gender; 2022 - 2023 — DPRD Provinsi Riau, Sebagai: Ketua Pansus LKPJ (Laporan Keterangan Pertanggungjawaban Kepala Daerah Provinsi Riau); 2022 - 2024 — DPRD Provinsi Riau, Sebagai: Wakil Ketua Komisi V DPRD Provinsi Riau; 2024 - 2029; DPR RI, Sebagai: Anggota terpilih periode 2024-2029 — Penghargaan; 2023; Golkar Media Award 2023, Konten Terbaik,; 2024; Anugerah JMSI (Jaringan Media Siber Indonesia) Award 2024, Politisi Muda Bertalenta,"
yulisman,Yulisman,Anggota DPR RI 2024–2029,Partai Golongan Karya,RIAU II,72183,Komisi XII,BAM,yulisman@dpr.go.id,"Air Molek, 10 July 1974","1980 - 1986 — SDN Negeri 001 Airmolek; 1986 - 1989 — SMP Negeri 1 Airmolek; 1989 - 1992 — SMA Negeri 1 Airmolek; 1992 - 1999 — Universitas Riau, Kimia; 2020 - 2022 — Universitas Lancang Kuning, Manajemen; 2023 - — Universitas Lancang Kuning, Hukum; 2023 - — Universitas Muhammadiyah Malang, Sosiologi",,,,,,Tidak ada data; Penghargaan
cek-endra,Cek Endra,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAMBI,100112,Komisi XII,,cek.endra@dpr.go.id,"Mandiangin, 17 March 1958",1964 - 1970 — SD NEGERI 56/IV MANDIANGIN; 1970 - 1973 — SMP NEGERI 4 KOTA JAMBIi; 1973 - 1976 — SMK NEGERI 1 KOTA JAMBI; 1977 - 1981 — AKADEMI UANG DAN BANK (AKUB) YOGYAKARTA; 1983 - 1986 — UNIVERSITAS KRISNAWIPAYANA,,,,,,"1986 - — PT. Tugu Pratama Indonesia, Jakarta, Sebagai: Kepala Bagian Keuangan; 1991 - — PT. Tugu Pratama Indonesia, Jakarta, Sebagai: Kepala Divisi Keuangan; 1992 - — JH. Minet. Co.Ltd, London, Sebagai: Executive Trainer; 1993 - — PT. Tugu Pratama Indonesia, Jakarta, Sebagai: Direktur Utama; 1993 - — Tugu insurance. Co.Ltd, Hongkong, Sebagai: Refresentatif Manager; 1993 - — Bourse Game, Singapura, Sebagai: Eksekutif Trainer; 1993 - — Citibank NA, Bangkok Thailand, Sebagai: Eksekutif Trainer; 1994 - — Tugu Insurance. Co.Ltd, London, Sebagai: Refresentatif Manager; 1996 - — PT. Tugu Suban Rezeki Abadi, Jakarta, Sebagai: Direktur Utama; 1996 - — PT. Masurai Agro Sejahtera, Jambi, Sebagai: Direktur Utama; 1996 - — PT. Gunung Kembang Mandiri, Jambi, Sebagai: Direktur Utama; 1996 - — PT. Sarolangun Bara Prima, Jambi, Sebagai: Direktur Utama; Penghargaan; 2009 — Lencana Melati Tingkat Nasional, Kwartir Nasional Pramuka; 2010 — Piala Adipura Sebagai Kota Kecil Terbersih, Presiden RI; 2012 — Penyuluh Pertanian Swadaya Teladan, Tingkat Nasional, Menteri Pertanian RI; 2013 — Anugrah Pangripta Nusantara Utama, Menteri PPN/Kepala Bapenas; 2014 — Penghargaan Kelembagaan Ekonomi Petani Berprestasi Tingkat Nasional, Menteri Pertanian RI; 2015 — Penghargaan Pembina Keselamatan Kesehatan Kerja Tingkat Nasional , Menteri Tenaga Kerja RI; 2018 — Penghargaan Peran Aktif dalam Pendampingan dan Pembangunan Kehidupan Suku Anak Dalam/Orang Rimba di Taman Nasional Bukit Dua Belas, Dirjen Konservasi SDA dan ekosistem Kemen LHK RI; 2018 — Nominator Utama Kategori Kepatuhan dan Kualitas Tata Kelola Seleksi Terbuka Pengisian Jabatan Pimpinan Tinggi , Komisi Aparatur Sipil Negara RI; 2019; Anugerah Kepemudaan 2019 Kategori Layak Pemuda, Menpora RI"
hasan-basri-agus,Hasan Basri Agus,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAMBI,87884,Komisi VIII,MKD,hasan.agus@dpr.go.id,"Sungai Abang, 31 December 1953","- 1968 — SD NEGERI NO 50/VI; - 1971 — MTS A.I.NOLAKKEMANG; - 1977 — SMA NEGERI I JAMBI; 1979 - 1983 — APDN JAMBI , ILMU PEMERINTAHAN; 1986 - 1988 — FISIPOL USU MEDAN , ILMU KES.SOSIAL; 1999 - 2000 — STIM LPMI , MANAJEMEN",,,,,,"1977 - 1999 — pemda tk I jambi , Sebagai: kepala biro kepegawaian; 1989 - 1990 — pemda tk II batanghari , Sebagai: camat mersam; 1990 - 1994 — pemda tk II batanghari , Sebagai: camat muara tembesi; 1994 - 1996 — pemda tk II BUNGOTEBO, Sebagai: kepala kantor capil; 1996 - 1997 — pemda tk II batanghari , Sebagai: pj. asisten II sekwilda; 1999 - 2006 — pemda tk II kota jambi , Sebagai: sekda kota jambi; 2006 - 2010 — pemkab sarolangun , Sebagai: bupati sarolangun; 2010 - 2015 — pemprov jambi , Sebagai: gubernur jambi; Penghargaan; 2009 — bintang jasa pratama ,; 2009 — lencana permata bangsa ,; 2010 — citra bkhakti abdi negara ,; 2011; anugerah pagrita nusantara 2011,; 2013 — pembina keselamatan dan kesehatan kerja ,; 2013 — angurah parahita ekapraya ,; 2013 — satya lencana kebhakitan sosial ,; 2013 — bintang maha putra utama ,; 2014 — pingat emas kesultanan perak malaysia ,; 2015 — pengelolaan keuangan daerah predikat ,"
kahar-muzakir,Kahar Muzakir,Anggota DPR RI 2024–2029,Partai Golongan Karya,SUMATERA SELATAN I,185597,Komisi XI,,kahar.muzakir@dpr.go.id,"Muba-Pengaturan, 10 December 1946","- 1969 — SEKOLAH TEKNIK; - 1959 — MUHAMMADIYAH 1; - 1965 — ISLAM YOGYAKARTA; - 1974 — IKIP YOGYAKARTA, TEKNIK MESIN",,,,,,"-; SPV. TRAINING DI PERTAMINA, Sebagai:; 1975 - — EQUIPMENT OPERATOR TRAINING TRAKINDO, Sebagai:; 1993 - — PT. HELINDO GRAHA, Sebagai: DIREKTUR; 2001 - — PT. PUTRA KARYA SARANA, Sebagai: DIRUT; 2004 - 2009 — DPR / MPR RI, Sebagai: ANGGOTA; 2009 - 2014 — DPR / MPR RI, Sebagai: ANGGOTA; 2014 - 2019 — DPR / MPR RI, Sebagai: ANGGOTA; Penghargaan; Tidak ada data"
yudha-novanza-utama,Yudha Novanza Utama,Anggota DPR RI 2024–2029,Partai Golongan Karya,SUMATERA SELATAN I,123382,Komisi I,,yudha.utama@dpr.go.id,"Palembang, 22 November 1982","1988 - 1994 — SD MUHAMMADIYAH I PALEMBANG; 1994 - 1997 — SMPN 1 PALEMBANG; 1997 - 2000 — SMUN 10 PALEMBANG; 2019 - 2022 — STIE STAN - INDONESIA MANDIRI BANDUNG, MANAJEMEN",,,,,,"2012 - — PT. PANDAWA MAJU JAYA, Sebagai: DIREKTUR UTAMA; 2019 - — PT. PANDAWA MAJU JAYA, Sebagai: KOMISARIS UTAMA; 2020 - — PT. PANDAWA PERKASA INDONESIA, Sebagai: KOMISARIS UTAMA; Penghargaan; TOKOH INSPIRASI SRIWIJAYA, LINTAS POLITIKA INDONESIA"
